"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57562237";"02";"5752206";"";"";"56847";"LATO SENSU";"";"";"2015";"2";"2015-12-14";"2016-02-20";"";"";"";"REGULAR";"t";"2016-05-17 09:27:53.325";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562243";"03";"";"109881811";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-12";"2015-12-05";"";"";"";"REGULAR";"t";"2016-05-17 10:52:26.683";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562243";"03";"5752206";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-12";"2015-12-05";"";"";"";"REGULAR";"t";"2016-05-17 10:52:26.683";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562244";"03";"";"109881811";"";"56847";"LATO SENSU";"";"";"2015";"2";"2015-12-14";"2016-02-20";"";"";"";"REGULAR";"t";"2016-05-17 10:48:03.364";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562244";"03";"5752206";"";"";"56847";"LATO SENSU";"";"";"2015";"2";"2015-12-14";"2016-02-20";"";"";"";"REGULAR";"t";"2016-05-17 10:48:03.364";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562247";"04";"5754400";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-12";"2015-12-05";"";"";"";"REGULAR";"t";"2016-06-17 10:06:21.791";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562249";"04";"5754400";"";"";"56847";"LATO SENSU";"";"";"2015";"2";"2015-12-14";"2016-02-20";"";"";"";"REGULAR";"t";"2016-06-17 10:05:21.06";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562252";"05";"";"109881669";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-12";"2015-12-05";"";"";"";"REGULAR";"t";"2016-05-19 09:43:33.434";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562252";"05";"5752206";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-12";"2015-12-05";"";"";"";"REGULAR";"t";"2016-05-19 09:43:33.434";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562253";"05";"";"109881669";"";"56847";"LATO SENSU";"";"";"2015";"2";"2015-12-14";"2016-02-20";"";"";"";"REGULAR";"t";"2016-05-19 09:48:57.159";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562253";"05";"5752206";"";"";"56847";"LATO SENSU";"";"";"2015";"2";"2015-12-14";"2016-02-20";"";"";"";"REGULAR";"t";"2016-05-19 09:48:57.159";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562256";"06";"";"109881493";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-30 13:40:42.52";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562256";"06";"5752206";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-30 13:40:42.52";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562260";"07";"";"109881524";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-24 10:56:23.16";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562260";"07";"5752206";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-24 10:56:23.16";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562264";"08";"";"110569107";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-02 15:18:10.187";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562268";"09";"18230";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-26 13:17:03.602";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562274";"10";"5752849";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-27 11:43:34.373";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562278";"11";"";"109881893";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-30 09:29:37.866";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562278";"11";"5752206";"";"";"56846";"LATO SENSU";"";"";"2015";"2";"2015-10-26";"2015-12-19";"";"";"";"REGULAR";"t";"2016-05-30 09:29:37.866";"f";"";"0";"CONSOLIDADA";"";"A Distância";
