id_turma,discente,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao,semestre,turno
57586202,30912632e71d2a0e849a6a816015a49a,92127264.0,2.0,6.5,f,0.0,5.3,42.0,APROVADO POR NOTA,2016.2,Vespertino
57586202,81f78aff3299e069903a31cea6cd7abd,92127264.0,3.0,1.89999998,t,0.0,3.7,13.0,REPROVADO,2016.2,Vespertino
57586202,8239ac2af0ba81332ab2e96ab7ac0146,92127264.0,3.0,4.5,f,0.0,5.0,33.0,APROVADO POR NOTA,2016.2,Vespertino
57586202,85cb952720c7bee3e0579820e2b25c3c,92127264.0,3.0,2.0999999,f,0.0,2.7,5.0,REPROVADO,2016.2,Vespertino
57586202,9d6b67bc2681e57fc0ba7892278bf897,92127264.0,1.0,1.89999998,f,0.0,0.9,72.0,REPROVADO POR MÉDIA E POR FALTAS,2016.2,Vespertino
57586202,800cbb3aba68eedffa54093d1c44a2ac,92127264.0,3.0,4.9000001,f,0.0,5.9,25.0,APROVADO POR NOTA,2016.2,Vespertino
57586202,004fbc5a36535365cff9387b9fe04028,92127264.0,3.0,4.5999999,f,0.0,5.1,32.0,APROVADO POR NOTA,2016.2,Vespertino
57586202,ee0d3b8755b18a141c80b38f251b964e,92127264.0,3.0,4.0,f,0.0,4.4,44.0,REPROVADO,2016.2,Vespertino
57586202,26ea315f34d7ab18e0b0df9bbc6b55c8,92127264.0,3.0,2.5999999,f,0.0,2.9,36.0,REPROVADO,2016.2,Vespertino
57586202,418bef6c72a9a4f7892940a11cc029ae,92127264.0,3.0,0.0,f,0.0,0.0,36.0,REPROVADO,2016.2,Vespertino
57586202,6de8a838aa97afbc920c26f719aeab50,92127264.0,1.0,1.29999995,f,0.0,0.6,104.0,REPROVADO POR MÉDIA E POR FALTAS,2016.2,Vespertino
57586202,a1103de7faacaafa0a0201d4f59547c3,92127264.0,2.0,3.20000005,f,0.0,2.5,34.0,REPROVADO,2016.2,Vespertino
57586202,b4c175e4ebcde9e7fcc87b6af348afd2,92127264.0,1.0,2.79999995,f,0.0,4.3,38.0,REPROVADO,2016.2,Vespertino
57586202,76b01289e4fe87eb0efac56d783517df,92127264.0,2.0,7.80000019,f,0.0,6.5,19.0,APROVADO POR NOTA,2016.2,Vespertino
57586202,b5b1e0bf9abef9337de45ca2b89464bc,92127264.0,2.0,4.0,f,0.0,4.3,20.0,REPROVADO,2016.2,Vespertino
57586202,1fb7466b149a504ccb86c8b814f09f12,92127264.0,1.0,3.0999999,f,0.0,4.4,12.0,REPROVADO,2016.2,Vespertino
57586202,e06463726b93edd68836c4047992670b,92127264.0,3.0,,f,0.0,,0.0,CANCELADO,2016.2,Vespertino
57586202,5cbcee188745b24497971f9aabbe4ea6,92127264.0,3.0,0.5,f,0.0,1.7,40.0,REPROVADO,2016.2,Vespertino
57586202,b995ab09e808edef4e250508e2514edf,92127264.0,3.0,2.29999995,f,0.0,3.5,48.0,REPROVADO,2016.2,Vespertino
57586202,69db400a92fe21640f98a93c0641ea24,92127264.0,2.0,7.19999981,f,0.0,5.8,19.0,APROVADO POR NOTA,2016.2,Vespertino
57586202,e283c75841119571423e79c6083f2ab8,92127264.0,3.0,5.9000001,f,0.0,6.9,47.0,APROVADO POR NOTA,2016.2,Vespertino
